id,subject,body
1,Payment failed,"Hello Support Team, my payment failed but the amount was deducted from my bank account. Please help."
2,Unable to login,"Hi, I am unable to log into my account since yesterday. It keeps showing an error."
3,Refund request,I would like to request a refund for my last transaction as the service was not delivered.
4,Application crash,The application crashes every time I try to upload a document.
5,Feature request,It would be great if you could add a dark mode feature to the application.
6,Account security issue,I believe my account has been accessed without my permission. Please investigate urgently.
7,Slow performance,The app has been extremely slow over the past few days and is difficult to use.
8,Password reset help,I forgot my password and the reset link is not working. Please assist.
9,Appreciation,Thank you for the quick resolution. I am very satisfied with the support provided.
10,Subscription charged twice,I was charged twice for my monthly subscription. Please refund the extra amount.
11,Invoice request,Could you please share the invoice for my last payment?
12,Account deletion,I would like to permanently delete my account. Please let me know the process.
13,Email notifications not working,I am not receiving any email notifications from the application.
14,Bug report,There is a bug on the dashboard where data is not loading correctly.
15,Upgrade plan query,Can you explain the benefits of upgrading to the premium plan?
16,Trial period question,How long does the free trial last and what features are included?
17,Complaint about support,I am unhappy with the delayed response from the support team.
18,Positive feedback,The new update looks great and the app feels much faster now.
19,Data sync issue,My data is not syncing properly between devices.
20,Login OTP issue,I am not receiving the OTP required to log in.
